Location,Date,TodayCases,YesterdayCases,DailyCasesSpikeTiers
Africa,2020-05-08,3624,2490,Investigate
Africa,2020-05-09,2850,3624,Excellent Measures in Place
Africa,2020-05-10,2579,2850,Excellent Measures in Place
Africa,2020-05-11,3066,2579,Investigate
Africa,2020-05-12,3160,3066,Investigate
Africa,2020-05-13,2915,3160,Excellent Measures in Place
Africa,2020-05-14,3119,2915,Investigate
Africa,2020-05-15,2928,3119,Excellent Measures in Place
Africa,2020-05-16,3003,2928,Investigate
Africa,2020-05-17,3313,3003,Investigate
Africa,2020-05-18,3668,3313,Investigate
Africa,2020-05-19,3012,3668,Excellent Measures in Place
Africa,2020-05-20,3792,3012,Investigate
Africa,2020-05-21,4692,3792,Investigate
Africa,2020-05-22,3875,4692,Excellent Measures in Place
Africa,2020-05-23,3862,3875,Excellent Measures in Place
Africa,2020-05-24,4126,3862,Investigate
Africa,2020-05-25,4116,4126,Excellent Measures in Place
